,IH_MIN,IH_MAX,IH_MEAN,IH_RMS,IH_VAR,IH_STD,IH_POWER,IH_PEAK,IH_P2P,IH_CREST FACTOR,IH_SKEW,IH_KURTOSIS,IH_MAX_f,IH_SUM_f,IH_MEAN_f,IH_VAR_f,IH_PEAK_f,IH_SKEW_f,IH_KURTOSIS_f,IL_MIN,IL_MAX,IL_MEAN,IL_RMS,IL_VAR,IL_STD,IL_POWER,IL_PEAK,IL_P2P,IL_CREST FACTOR,IL_SKEW,IL_KURTOSIS,IL_MAX_f,IL_SUM_f,IL_MEAN_f,IL_VAR_f,IL_PEAK_f,IL_SKEW_f,IL_KURTOSIS_f,Acc_MIN,Acc_MAX,Acc_MEAN,Acc_RMS,Acc_VAR,Acc_STD,Acc_POWER,Acc_PEAK,Acc_P2P,Acc_CREST FACTOR,Acc_SKEW,Acc_KURTOSIS,Acc_MAX_f,Acc_SUM_f,Acc_MEAN_f,Acc_VAR_f,Acc_PEAK_f,Acc_SKEW_f,Acc_KURTOSIS_f
0,-0.031144,0.02951,-0.0002211375604999999,0.020634150547014857,0.00042571926697620966,0.020632965540033493,0.00042576816879687354,0.031144,0.060654,1.5093424819712582,-0.03916673711803216,-1.435925955899596,0.3743708585427314,0.8515363375937468,0.0004257681687968734,0.0001406830003094516,0.3743708585427314,-0.03916673711803216,-1.435925955899596,-0.28306,0.2836,0.0060469798399999984,0.19890513316811223,0.0395266860354391,0.1988131938163036,0.03956325200062446,0.2836,0.5666599999999999,1.4258053348492756,-0.039840048224915416,-1.466625749531563,34.79136361712231,79.12650400124895,0.03956325200062447,1.2149746446239342,34.79136361712231,-0.039840048224915416,-1.466625749531563,-0.0004719,7.2881e-05,-0.0001810219133,0.00020051021193988336,7.435411997384223e-09,8.622883506915899e-05,4.0204345092176946e-08,0.0004719,0.0005447809999999999,2.3534960909695926,-0.054265676557454144,0.03695626344429348,6.553786618958544e-05,8.040869018435389e-05,4.0204345092176946e-08,2.1461343054697576e-12,6.553786618958544e-05,-0.054265676557454144,0.03695626344429348
1,-0.029568,0.027844,-0.0003833425515499997,0.01975630467130598,0.0003901646227536375,0.019752585216969386,0.0003903115742654664,0.029568,0.057412000000000005,1.4966361620725819,-0.04136093785976941,-1.4309133732341532,0.3449814467088357,0.7806231485309326,0.0003903115742654663,0.00011935346893975749,0.3449814467088357,-0.04136093785976941,-1.4309133732341532,-0.26907,0.26919,0.005036890505000001,0.19032811087942994,0.036199419524973214,0.19026145044378595,0.03622478979093258,0.26919,0.53826,1.4143470386806283,-0.04180965542240981,-1.463901544486396,32.03277661036192,72.44957958186515,0.03622478979093258,1.029107753986075,32.03277661036192,-0.04180965542240981,-1.463901544486396,-0.0006734,0.00039378,-0.00012404906409999998,0.0002224605998261039,3.410054817090403e-08,0.00018466333737616688,4.9488718474989935e-08,0.0006734,0.00106718,3.0270528827414505,-0.009979694695180018,-0.0036949936445287435,3.077634060817181e-05,9.897743694997987e-05,4.9488718474989935e-08,7.884889121276672e-13,3.077634060817181e-05,-0.009979694695180018,-0.0036949936445287435
2,-0.031335,0.029645,-0.0002615874850500002,0.020806053065499028,0.00043282341615202667,0.02080440857491572,0.00043289184416436154,0.031335,0.060980000000000006,1.506052104229238,-0.04200632229937513,-1.437898555354222,0.38086002691661985,0.865783688328723,0.0004328918441643615,0.00014557117921386908,0.38086002691661985,-0.04200632229937513,-1.437898555354222,-0.28474,0.28417,0.005893030225000001,0.20037210188623916,0.040114251409076644,0.20028542485432294,0.040148979214309405,0.28474,0.56891,1.42105611170192,-0.041897500071748354,-1.4677813280232677,35.3139133272684,80.29795842861884,0.04014897921430942,1.2515831692206087,35.3139133272684,-0.041897500071748354,-1.4677813280232677,-0.00045325,9.527e-05,-0.0001772420022,0.00019667057884069524,7.264589237669315e-09,8.523255972730911e-05,3.867931658153412e-08,0.00045325,0.00054852,2.3046151725985213,-0.06187714494444521,-0.09686433315938547,6.282945468772962e-05,7.73586331630683e-05,3.867931658153415e-08,1.9723915689925737e-12,6.282945468772962e-05,-0.06187714494444521,-0.09686433315938547
3,-0.030111,0.028432,-0.0008041507539999999,0.02025840944384685,0.00040975649475938445,0.020242442904930828,0.00041040315319454325,0.030111,0.058543,1.4863457115655103,-0.007216377463580047,-1.4804228770946752,0.365356718663716,0.8208063063890865,0.00041040315319454325,0.00013371909975588806,0.365356718663716,-0.007216377463580047,-1.4804228770946752,-0.27349,0.27282,0.0007694651520000022,0.1944603104238915,0.03781422025353609,0.194458788059414,0.037814812330156246,0.27349,0.5463100000000001,1.4064052423028472,-0.011568044425320615,-1.510268844711638,33.751466542401175,75.62962466031249,0.037814812330156246,1.1411494519735907,33.751466542401175,-0.011568044425320615,-1.510268844711638,-0.00065474,0.00049453,-8.3479379e-05,0.000201826039178058,3.376494337207736e-08,0.00018375239691518954,4.0733750090302996e-08,0.00065474,0.00114927,3.2440809058456797,-0.04534437056528352,0.031056168042878696,1.8616264025624232e-05,8.1467500180606e-05,4.0733750090302996e-08,4.4912816398142254e-13,1.8616264025624232e-05,-0.04534437056528352,0.031056168042878696
4,-0.029545,0.027971,-0.0004347171651500003,0.01978077438537119,0.0003910900562712809,0.01977599697287803,0.000391279035284957,0.029545,0.057516,1.4936220101600224,-0.039269065587859496,-1.4448831410671352,0.34655745262187165,0.782558070569914,0.000391279035284957,0.00012042099576918028,0.34655745262187165,-0.039269065587859496,-1.4448831410671352,-0.27037,0.27067,0.004017029289999998,0.19101718515779348,0.03647142850129005,0.1909749420769386,0.03648756502560675,0.27067,0.54104,1.4169929254082965,-0.04039840729405233,-1.475205666149597,32.332969897446354,72.97513005121351,0.03648756502560675,1.0482835233614978,32.332969897446354,-0.04039840729405233,-1.475205666149597,-0.00065474,0.00049826,-5.43781672e-05,0.00019162733263421844,3.3764049544474244e-08,0.0001837499647468653,3.67210346125054e-08,0.00065474,0.001153,3.4167359687137067,-0.03701305603203197,0.12317465065597633,1.683489601263314e-05,7.34420692250108e-05,3.67210346125054e-08,3.0872478824897787e-13,1.683489601263314e-05,-0.03701305603203197,0.12317465065597633
5,-0.030384,0.028731,-0.0006092508859350004,0.02060251101839281,0.0004240922736209845,0.02059350076167198,0.000424463460262997,0.030384,0.059115,1.4747716903475896,-0.02600510869803218,-1.4690797993104876,0.3773401072713821,0.848926920525994,0.000424463460262997,0.00014269039890761815,0.3773401072713821,-0.02600510869803218,-1.4690797993104876,-0.27497,0.27475,0.0020489332199999993,0.1977187927474471,0.03908852287816791,0.1977081760529086,0.03909272100550794,0.27497,0.54972,1.3907125174045973,-0.024775859048607025,-1.5025481011488453,34.81180285445874,78.18544201101588,0.03909272100550794,1.2144240201884722,34.81180285445874,-0.024775859048607025,-1.5025481011488453,-0.00062862,0.00058781,-6.19603956e-05,0.00019699798235994705,3.49691144309815e-08,0.00018700030596494087,3.8808205053890005e-08,0.00062862,0.0012164300000000001,3.1909971486479995,-0.029395670410624842,0.01810755197739855,1.8482044269863945e-05,7.761641010777998e-05,3.880820505388999e-08,3.7893584920505426e-13,1.8482044269863945e-05,-0.029395670410624842,0.01810755197739855
6,-0.030418,0.028391,-0.0003581258234999998,0.019505067355426228,0.0003803193984342564,0.019501779365849067,0.0003804476525397139,0.030418,0.058809,1.5594921794278163,-0.039305888011456916,-1.432247074377592,0.33760181502570524,0.7608953050794279,0.00038044765253971395,0.00011424726467652838,0.33760181502570524,-0.039305888011456916,-1.432247074377592,-0.27715,0.27435,0.005055781475000002,0.1890237450373587,0.03570441526162542,0.18895611993694572,0.03572997618794838,0.27715,0.5515,1.4662179079417987,-0.03924337609206146,-1.463879722882224,31.703108506216356,71.45995237589676,0.03572997618794838,1.0075916131227314,31.703108506216356,-0.03924337609206146,-1.463879722882224,-0.00049429,0.00012885,-0.00017728305729999998,0.00019736709877805537,7.524489274431576e-09,8.674381404129967e-05,3.895377168006666e-08,0.00049429,0.00062314,2.504419445086146,0.005912135712601499,-0.007885380070112191,6.285856481127016e-05,7.79075433601333e-05,3.8953771680066655e-08,1.9742086688024886e-12,6.285856481127016e-05,0.005912135712601499,-0.007885380070112191
7,-0.030549,0.028799,-0.0003764741217500004,0.020225783924106632,0.0004089406025803027,0.020222279856146358,0.0004090823353446502,0.030549,0.059348,1.5103988114690265,-0.040003027609885944,-1.4336006234544936,0.3654024135103407,0.8181646706893004,0.0004090823353446502,0.00013381499074635318,0.3654024135103407,-0.040003027609885944,-1.4336006234544936,-0.27832,0.27736,0.005052945062999998,0.19528422663758693,0.03811039691963073,0.19521884365918862,0.03813592917344042,0.27832,0.55568,1.4252047120862088,-0.03962875728919385,-1.4643427909913624,34.06632634383183,76.27185834688086,0.03813592917344043,1.16317357828506,34.06632634383183,-0.03962875728919385,-1.4643427909913624,-0.00046071,9.1538e-05,-0.0001825853576,0.00020317531852996908,7.942797249834522e-09,8.912237233060239e-05,4.12802100597544e-08,0.00046071,0.000552248,2.267549047459934,-0.051590152572131016,-0.11482774806017382,6.667482561983975e-05,8.256042011950878e-05,4.128021005975439e-08,2.2212034449518975e-12,6.667482561983975e-05,-0.051590152572131016,-0.11482774806017382
8,-0.029631,0.027882,-0.00028615591199999984,0.01972921190682073,0.0003891599172582644,0.01972713657017319,0.0003892418024642369,0.029631,0.057513,1.5018846236709562,-0.04382737495374121,-1.430275342153437,0.34343761029513614,0.7784836049284738,0.0003892418024642369,0.0001183299023778163,0.34343761029513614,-0.04382737495374121,-1.430275342153437,-0.26945,0.2688,0.005655536330000001,0.1903974705614215,0.03621921170500742,0.190313456447534,0.03625119679618737,0.26945,0.53825,1.4151973721367084,-0.04327918908204294,-1.4633926579605998,31.992361296757974,72.50239359237474,0.03625119679618737,1.0268535328422468,31.992361296757974,-0.04327918908204294,-1.4633926579605998,-0.00063608,0.00052811,-6.25480808e-05,0.000196132667481774,3.45557608417528e-08,0.000185891798747962,3.846802325351612e-08,0.00063608,0.00116419,3.2431109420316684,-0.009778039854348304,0.08714304171734755,1.8808321086616747e-05,7.693604650703224e-05,3.846802325351612e-08,3.8872332182455105e-13,1.8808321086616747e-05,-0.009778039854348304,0.08714304171734755
9,-0.031357,0.029431,-0.0011444092076500004,0.02058299854050609,0.00042235015648392173,0.02055115949244523,0.0004236598289184758,0.031357,0.060788,1.523441783192635,0.017248184459499386,-1.4710759340728556,0.3734364324006813,0.8473196578369515,0.00042365982891847575,0.00013978229517880563,0.3734364324006813,0.017248184459499386,-1.4710759340728556,-0.28569,0.28221,-0.0025663966049999996,0.19837544531345858,0.03934623091177883,0.1983588437952259,0.03935281730331299,0.28569,0.5679000000000001,1.4401479958801013,0.016021945960819538,-1.5021566326909894,34.80460247110741,78.70563460662595,0.03935281730331298,1.2142267869474621,34.80460247110741,0.016021945960819538,-1.5021566326909894,-0.00044578,0.00010273,-0.0001704415271,0.0001910141959965941,7.436108912045226e-09,8.623287605110493e-05,3.648642307222526e-08,0.00044578,0.00054851,2.3337532463186585,-0.0132148609122231,-0.07032386564358184,5.810062832036006e-05,7.297284614445053e-05,3.648642307222527e-08,1.6866340479103083e-12,5.810062832036006e-05,-0.0132148609122231,-0.07032386564358184
