,IHmean,IHstd,IHskew,IHkurt,IHp5,IHp95,ILmean,ILstd,ILskew,ILkurt,ILp5,ILp95,Accmean,Accstd,Accskew,Acckurt,Accp5,Accp95
0,-0.0002211375604999999,0.02063812571656535,-0.03916673711803216,-1.435925955899596,-0.03022395,0.02853715,0.0060469798399999984,0.19886291576126414,-0.039840048224915416,-1.466625749531563,-0.2765805,0.2763115,-0.0001810219133,8.625040036524936e-05,-0.054265676557454144,0.03695626344429348,-0.00032265,-3.9061e-05
1,-0.0003833425515499997,0.019757525215850415,-0.04136093785976941,-1.4309133732341532,-0.02889815,0.027152,0.005036890505000001,0.19030903365084323,-0.04180965542240981,-1.463901544486396,-0.2643335,0.264503,-0.00012404906409999998,0.00018470952052991536,-0.009979694695180018,-0.0036949936445287435,-0.00042713,0.00019975
2,-0.0002615874850500002,0.02080961162828578,-0.04200632229937513,-1.437898555354222,-0.0303802,0.0286452,0.005893030225000001,0.20033551499512217,-0.041897500071748354,-1.4677813280232677,-0.2782255,0.2780125,-0.0001772420022,8.525387586112427e-05,-0.06187714494444521,-0.09686433315938547,-0.00031892,-4.2792e-05
3,-0.0008041507539999999,0.02024750541417715,-0.007216377463580047,-1.4804228770946752,-0.028991199999999998,0.02729815,0.0007694651520000022,0.1945074209945396,-0.011568044425320615,-1.510268844711638,-0.264385,0.26451050000000004,-8.3479379e-05,0.00018379835224838654,-0.04534437056528352,0.031056168042878696,-0.00039354,0.00021467
4,-0.0004347171651500003,0.0197809428268938,-0.039269065587859496,-1.4448831410671352,-0.02865135,0.02689755,0.004017029289999998,0.19102270372382188,-0.04039840729405233,-1.475205666149597,-0.2635205,0.263337,-5.43781672e-05,0.0001837959194717921,-0.03701305603203197,0.12317465065597633,-0.0003601465,0.00025590649999999987
5,-0.0006092508859350004,0.020598651068307883,-0.02600510869803218,-1.4690797993104876,-0.02965095,0.028046400000000003,0.0020489332199999993,0.1977576216397897,-0.024775859048607025,-1.5025481011488453,-0.2706055,0.270545,-6.19603956e-05,0.00018704707358001868,-0.029395670410624842,0.01810755197739855,-0.00037489,0.00025199
6,-0.0003581258234999998,0.019506656639744463,-0.039305888011456916,-1.432247074377592,-0.02843035,0.02675155,0.005055781475000002,0.18900337668895056,-0.03924337609206146,-1.463879722882224,-0.261556,0.26185200000000003,-0.00017728305729999998,8.676550813043247e-05,0.005912135712601499,-0.007885380070112191,-0.00031892,-3.9061e-05
7,-0.0003764741217500004,0.02022733732273941,-0.040003027609885944,-1.4336006234544936,-0.0296591,0.0278932,0.005052945062999998,0.19526766667949907,-0.03962875728919385,-1.4643427909913624,-0.2718705,0.2717135,-0.0001825853576,8.914466128239031e-05,-0.051590152572131016,-0.11482774806017382,-0.00033011,-3.5329e-05
8,-0.00028615591199999984,0.019732070204505712,-0.04382737495374121,-1.430275342153437,-0.028824100000000002,0.027114199999999998,0.005655536330000001,0.1903610526609698,-0.04327918908204294,-1.4633926579605998,-0.26470099999999996,0.264522,-6.25480808e-05,0.0001859382891322697,-0.009778039854348304,0.08714304171734755,-0.00037116,0.00025572
9,-0.0011444092076500004,0.020556299209792676,0.017248184459499386,-1.4710759340728556,-0.029587,0.027522,-0.0025663966049999996,0.1984084521100681,0.016021945960819538,-1.5021566326909894,-0.2713415,0.2688205,-0.0001704415271,8.625444235781977e-05,-0.0132148609122231,-0.07032386564358184,-0.00031892,-2.4135e-05
