,0,1,2
0,0.029424,0.2806,9.4474e-06
1,0.029147,0.27907,-0.00011369
2,0.02893,0.27733,-0.00015473
3,0.028746,0.27499,-0.000151
4,0.028582,0.27266,-0.00010996
5,0.028267,0.27013,-0.00010623
6,0.028125,0.26727,-0.0002219
7,0.027953,0.26456,-0.00017339
8,0.027436,0.26127,-5.3986e-05
9,0.026904,0.2576,-0.00013235
10,0.026556,0.25381,-0.00010996
11,0.026219,0.24958,-0.00012861
12,0.025721,0.24527,-0.00011369
13,0.025104,0.24079,-6.1449e-05
14,0.024591,0.23601,-0.00033011
15,0.024295,0.2311,-0.00027041
16,0.023745,0.22598,-7.6375e-05
17,0.023071,0.22069,-8.7569e-05
18,0.022453,0.21509,-3.5329e-05
19,0.021854,0.20932,-0.000151
20,0.021222,0.20335,-0.00026668
21,0.020458,0.19707,-0.00017712
22,0.019863,0.19097,-0.00019205
23,0.019178,0.18458,-0.00025548
24,0.018392,0.17792,-0.00011369
25,0.017744,0.1711,-0.00030026
26,0.017044,0.164,-0.00032265
27,0.016325,0.15702,-0.00011369
28,0.015588,0.14988,-0.00033757
29,0.014858,0.14273,-0.0002816
30,0.014191,0.13581,-0.00013608
31,0.013487,0.12875,-0.00015473
32,0.01281,0.12159,-3.5329e-05
33,0.01196,0.11458,2.8104e-05
34,0.011114,0.10769,-6.5181e-05
35,0.010552,0.10105,-0.00016593
36,0.0098711,0.094506,-0.00022563
37,0.0092421,0.087776,-0.00036742
38,0.0086731,0.08115,-0.00019578
39,0.0077859,0.074652,-9.13e-05
40,0.0070297,0.068131,-0.00023309
41,0.0066441,0.061834,-0.00021444
42,0.0059889,0.055601,-0.00018459
43,0.0051504,0.04936,-0.00011369
44,0.0045664,0.043408,-9.5032e-05
45,0.0040385,0.037365,-5.7718e-05
46,0.0034358,0.031453,-0.00018832
47,0.0028406,0.02584,-0.00033011
48,0.0023839,0.020082,-0.00017712
49,0.0017512,0.014331,-5.0255e-05
50,0.0011372,0.0086282,-9.5032e-05
51,0.00069923,0.0028547,-0.0001622
52,0.00015266,-0.0029487,-5.3986e-05
53,-0.00041636,-0.0085503,-8.7569e-05
54,-0.0010266,-0.014268,-0.00019578
55,-0.0015357,-0.020232,-6.1449e-05
56,-0.0021422,-0.02605,-8.7569e-05
57,-0.0026925,-0.03191,-0.00043459
58,-0.003254,-0.037911,-0.00026294
59,-0.0039428,-0.044036,-5.4782e-06
60,-0.0046654,-0.050146,-0.00021071
61,-0.0053355,-0.056308,-0.0002219
62,-0.0057248,-0.062844,-0.0002928
63,-0.0065933,-0.069495,-0.00024429
64,-0.0072934,-0.076267,-0.00010249
65,-0.0076827,-0.083244,-0.00013981
66,-0.0085063,-0.090063,-9.5032e-05
67,-0.0092924,-0.097115,-2.4135e-05
68,-0.010034,-0.10468,-3.9061e-05
69,-0.010805,-0.11215,-0.00013608
70,-0.011801,-0.11965,-9.8763e-05
71,-0.012516,-0.1273,-0.00011369
72,-0.013066,-0.13501,-0.00018459
73,-0.014099,-0.14281,-0.00025175
74,-0.014904,-0.15032,-0.00024802
75,-0.015615,-0.1579,-4.6524e-05
76,-0.016409,-0.16537,3.9299e-05
77,-0.017113,-0.17248,-1.6672e-05
78,-0.017933,-0.17947,-0.00013981
79,-0.018618,-0.18615,-0.00010996
80,-0.019329,-0.19263,-0.00013608
81,-0.020048,-0.1988,-0.00024802
82,-0.020621,-0.20475,-0.0002219
83,-0.021055,-0.21037,-0.00014354
84,-0.021556,-0.21562,-5.0255e-05
85,-0.022414,-0.22065,-0.00015473
86,-0.022949,-0.2253,-0.00011369
87,-0.023207,-0.22961,-5.3986e-05
88,-0.02372,-0.23361,-0.00010623
89,-0.024218,-0.23738,-3.9061e-05
