,0,1,2
0,0.0042557,0.063766,-0.00023682
1,0.0048996,0.070283,-0.00016966
2,0.0054761,0.076898,-7.6375e-05
3,0.0061724,0.083725,-0.00012488
4,0.0069398,0.090848,-0.00020324
5,0.0075912,0.097981,-0.00028906
6,0.0081715,0.10501,-0.00017712
7,0.009025,0.11253,-0.00027787
8,0.0099834,0.12032,-0.00021071
9,0.010653,0.12769,-7.6375e-05
10,0.011668,0.13518,-0.0002816
11,0.012424,0.14285,-0.0002816
12,0.012915,0.15029,-0.00018459
13,0.013742,0.15774,-8.3838e-05
14,0.014468,0.16505,-0.00020324
15,0.015333,0.17219,-0.00024056
16,0.016123,0.17921,-0.00021444
17,0.016879,0.18606,-0.00014727
18,0.017553,0.19275,-0.00013235
19,0.018066,0.19889,-0.00029653
20,0.018904,0.20482,-3.1598e-05
21,0.019578,0.21062,9.4474e-06
22,0.020114,0.2161,-0.00011742
23,0.020754,0.2214,-0.00013608
24,0.021233,0.22627,-0.00017339
25,0.02166,0.23077,-1.7468e-06
26,0.022083,0.23478,-0.00010623
27,0.022648,0.23863,-0.0001622
28,0.023093,0.24224,-6.8912e-05
29,0.023378,0.24541,-0.00013981
30,0.023737,0.24839,-0.00011369
31,0.023966,0.25096,-0.00021817
32,0.024329,0.25334,-0.00026668
33,0.024568,0.25545,-0.00017712
34,0.024771,0.25739,-0.0001622
35,0.025044,0.25923,-0.00031145
36,0.02516,0.26076,-0.00044951
37,0.025444,0.26234,-0.00012861
38,0.025512,0.2638,-8.3838e-05
39,0.025677,0.26514,-0.0002816
40,0.026002,0.26633,-0.0001622
41,0.026115,0.26727,-0.00022563
42,0.026313,0.26828,-0.00037862
43,0.026437,0.26948,-0.00027787
44,0.026661,0.27051,-0.00019951
45,0.026942,0.27133,-0.00021071
46,0.027054,0.27228,-0.00014354
47,0.027174,0.27325,-0.00014354
48,0.027425,0.27403,-0.00020324
49,0.027732,0.27502,-0.00019951
50,0.027769,0.27612,-0.00011742
51,0.027867,0.27684,-2.0404e-05
52,0.028076,0.27775,-5.7718e-05
53,0.028177,0.27854,-0.00013981
54,0.02857,0.2791,-8.3838e-05
55,0.028645,0.28,-6.8912e-05
56,0.028537,0.28062,-0.000151
57,0.028963,0.28106,-0.00024429
58,0.029132,0.28137,-0.00031518
59,0.02896,0.28153,-0.00018459
60,0.028971,0.28162,-3.9061e-05
61,0.029068,0.28155,-0.00024802
62,0.029166,0.28115,-0.00025921
63,0.029109,0.28046,-8.0106e-05
64,0.029053,0.27982,-0.00040101
65,0.029121,0.27873,-0.00042339
66,0.028997,0.2774,-0.00027787
67,0.028832,0.27594,-0.00032265
68,0.028735,0.27421,-9.5032e-05
69,0.028481,0.27233,-0.00023309
70,0.02817,0.27006,-0.00028906
71,0.028046,0.26741,-9.13e-05
72,0.027833,0.26455,-0.00031892
73,0.027391,0.2616,-0.00042713
74,0.027062,0.25845,-0.00012115
75,0.026665,0.25486,-3.5329e-05
76,0.026313,0.25106,-0.00028906
77,0.025897,0.24711,-0.00019951
78,0.025392,0.24292,-0.00011742
79,0.025006,0.23852,-0.00034877
80,0.024471,0.23377,-0.00030772
81,0.024067,0.22894,-7.2643e-05
82,0.023535,0.22397,-8.0106e-05
83,0.022858,0.21874,-0.00027041
84,0.022356,0.21347,-0.00034877
85,0.02175,0.20796,-0.00030026
