,0,1,2
0,-0.016978,-0.16868,-0.00025548
1,-0.017401,-0.17502,-0.00024429
2,-0.018052,-0.18121,-0.00034877
3,-0.018928,-0.18683,-0.00023309
4,-0.019498,-0.19239,-0.00016966
5,-0.019995,-0.19771,-0.00023309
6,-0.020557,-0.2027,-0.00014354
7,-0.021283,-0.2076,-0.00031145
8,-0.021807,-0.21211,-0.00065101
9,-0.022126,-0.21615,-0.00040101
10,-0.022575,-0.21987,-0.00031518
11,-0.022904,-0.2234,-0.00053907
12,-0.023249,-0.22652,-0.00048683
13,-0.023784,-0.22955,-0.00056519
14,-0.024151,-0.2325,-0.0004831
15,-0.024271,-0.23515,-0.00045325
16,-0.024514,-0.23775,-0.00056892
17,-0.024881,-0.24008,-0.00047563
18,-0.025143,-0.24216,-0.00039354
19,-0.025431,-0.24406,-0.00033011
20,-0.025626,-0.24577,-0.00038235
21,-0.025783,-0.24742,-0.00039354
22,-0.025993,-0.24889,-0.00044205
23,-0.026161,-0.25028,-0.00052414
24,-0.026397,-0.25179,-0.00054653
25,-0.026569,-0.25293,-0.00041966
26,-0.02676,-0.25386,-0.00016966
27,-0.026884,-0.25498,-0.0003525
28,-0.026966,-0.25587,-0.00050549
29,-0.027194,-0.25667,-0.0003525
30,-0.0274,-0.2575,-0.00039354
31,-0.027528,-0.25826,-0.00037116
32,-0.027614,-0.259,-0.00021071
33,-0.027838,-0.25989,-0.00020697
34,-0.027995,-0.26091,-0.0002219
35,-0.028067,-0.26158,-0.0002928
36,-0.028336,-0.26248,-0.00046817
37,-0.02849,-0.26338,-0.00033011
38,-0.028617,-0.26399,-0.00028533
39,-0.028774,-0.26489,-0.00033757
40,-0.02889,-0.26556,-0.00022936
41,-0.028999,-0.26606,-0.00031518
42,-0.028954,-0.26649,-0.00015847
43,-0.02916,-0.26662,-0.00018085
44,-0.029317,-0.26662,-0.00038608
45,-0.029246,-0.26652,-0.000151
46,-0.029253,-0.26619,-0.00017712
47,-0.029201,-0.26571,-0.00027041
48,-0.029343,-0.26515,-0.0002219
49,-0.029268,-0.26434,-0.00023682
50,-0.028943,-0.26319,-0.00025921
51,-0.028827,-0.2617,-0.00024056
52,-0.02877,-0.26002,-6.1449e-05
53,-0.028718,-0.25802,-2.0404e-05
54,-0.028437,-0.25579,-9.8763e-05
55,-0.028149,-0.25327,-0.00015847
56,-0.027939,-0.25028,-9.5032e-05
57,-0.027576,-0.24733,-2.7867e-05
58,-0.027367,-0.24408,-0.00013608
59,-0.026973,-0.24046,-7.2643e-05
60,-0.026363,-0.23701,2.8104e-05
61,-0.026004,-0.23321,-0.00013981
62,-0.025566,-0.22923,-0.00014727
63,-0.025061,-0.22507,-0.00014354
64,-0.02463,-0.22042,-0.00015847
65,-0.024192,-0.21583,-0.00020324
66,-0.023615,-0.21096,-0.00022563
67,-0.022987,-0.20577,0.00011393
68,-0.022436,-0.20059,-2.0404e-05
69,-0.021882,-0.19498,-0.00013608
70,-0.021264,-0.18916,3.5567e-05
71,-0.020508,-0.18327,-0.00014354
72,-0.019849,-0.17717,-4.2792e-05
73,-0.019239,-0.17098,0.00012512
74,-0.018577,-0.16498,-0.00013981
75,-0.017959,-0.15871,-0.00024802
76,-0.01724,-0.15218,3.9299e-05
77,-0.016578,-0.14574,6.1687e-05
78,-0.015945,-0.13894,-6.8912e-05
79,-0.01508,-0.13239,-5.4782e-06
80,-0.014414,-0.12569,5.0493e-05
